concept,slot,table,column,type,primary_key_position,nullable_in_sqlite,default,migration,implementation_status
AccessAssessment,oa_assessment_id,access_assessments_v2,assessment_id,TEXT,1,False,,curator-app/migrations/0002_open_access.sql,prepared_v2_not_runtime_verified
AccessAssessment,v2_review_id,access_assessments_v2,review_id,TEXT,0,False,,curator-app/migrations/0002_open_access.sql,prepared_v2_not_runtime_verified
AccessAssessment,v2_candidate_id,access_assessments_v2,candidate_id,TEXT,0,False,,curator-app/migrations/0002_open_access.sql,prepared_v2_not_runtime_verified
AccessAssessment,v2_evidence_id,access_assessments_v2,evidence_id,TEXT,0,True,,curator-app/migrations/0002_open_access.sql,prepared_v2_not_runtime_verified
AccessAssessment,oa_full_text_url,access_assessments_v2,full_text_url,TEXT,0,True,,curator-app/migrations/0002_open_access.sql,prepared_v2_not_runtime_verified
AccessAssessment,v2_version_type,access_assessments_v2,version_type,TEXT,0,True,,curator-app/migrations/0002_open_access.sql,prepared_v2_not_runtime_verified
AccessAssessment,oa_host_type,access_assessments_v2,host_type,TEXT,0,True,,curator-app/migrations/0002_open_access.sql,prepared_v2_not_runtime_verified
AccessAssessment,v2_license_uri,access_assessments_v2,license_uri,TEXT,0,True,,curator-app/migrations/0002_open_access.sql,prepared_v2_not_runtime_verified
AccessAssessment,v2_rights_basis,access_assessments_v2,rights_basis,TEXT,0,False,,curator-app/migrations/0002_open_access.sql,prepared_v2_not_runtime_verified
AccessAssessment,oa_rights_evidence_url,access_assessments_v2,rights_evidence_url,TEXT,0,True,,curator-app/migrations/0002_open_access.sql,prepared_v2_not_runtime_verified
AccessAssessment,oa_access_status,access_assessments_v2,access_status,TEXT,0,False,,curator-app/migrations/0002_open_access.sql,prepared_v2_not_runtime_verified
AccessAssessment,oa_verification_method,access_assessments_v2,verification_method,TEXT,0,False,,curator-app/migrations/0002_open_access.sql,prepared_v2_not_runtime_verified
AccessAssessment,oa_verified_at,access_assessments_v2,verified_at,TEXT,0,False,,curator-app/migrations/0002_open_access.sql,prepared_v2_not_runtime_verified
AccessAssessment,v2_attributed_to,access_assessments_v2,attributed_to,TEXT,0,False,,curator-app/migrations/0002_open_access.sql,prepared_v2_not_runtime_verified
AccessAssessment,v2_supersedes_id,access_assessments_v2,supersedes_id,TEXT,0,True,,curator-app/migrations/0002_open_access.sql,prepared_v2_not_runtime_verified
Agent,v2_agent_id,agents,agent_id,TEXT,1,False,,curator-app/migrations/0001_review_v2.sql,prepared_v2_not_runtime_verified
Agent,v2_agent_type,agents,agent_type,TEXT,0,False,,curator-app/migrations/0001_review_v2.sql,prepared_v2_not_runtime_verified
Agent,v2_display_name,agents,display_name,TEXT,0,False,,curator-app/migrations/0001_review_v2.sql,prepared_v2_not_runtime_verified
Agent,v2_family_name,agents,family_name,TEXT,0,True,,curator-app/migrations/0001_review_v2.sql,prepared_v2_not_runtime_verified
Agent,v2_given_name,agents,given_name,TEXT,0,True,,curator-app/migrations/0001_review_v2.sql,prepared_v2_not_runtime_verified
ApprovalReceipt,v2_receipt_id,approval_receipts,receipt_id,TEXT,1,False,,curator-app/migrations/0001_review_v2.sql,prepared_v2_not_runtime_verified
ApprovalReceipt,v2_proposal_id,approval_receipts,proposal_id,TEXT,0,False,,curator-app/migrations/0001_review_v2.sql,prepared_v2_not_runtime_verified
ApprovalReceipt,v2_review_id,approval_receipts,review_id,TEXT,0,False,,curator-app/migrations/0001_review_v2.sql,prepared_v2_not_runtime_verified
ApprovalReceipt,v2_candidate_id,approval_receipts,candidate_id,TEXT,0,False,,curator-app/migrations/0001_review_v2.sql,prepared_v2_not_runtime_verified
ApprovalReceipt,v2_expected_version,approval_receipts,expected_version,INTEGER,0,False,,curator-app/migrations/0001_review_v2.sql,prepared_v2_not_runtime_verified
